,is_promoted,employee_id
0,0,8724
1,0,74430
2,0,72255
3,0,38562
4,0,64486
5,0,46232
6,0,54542
7,0,67269
8,0,66174
9,0,76303
10,0,60245
11,0,42639
12,0,30963
13,0,54055
14,0,42996
15,0,12737
16,0,27561
17,0,26622
18,0,31582
19,0,29793
20,0,72735
21,0,5677
22,0,60889
23,0,51498
24,0,8566
25,0,53151
26,0,16203
27,0,61083
28,0,74849
29,0,13259
30,0,72407
31,0,65237
32,0,67672
33,0,77460
34,0,67317
35,0,68788
36,0,36834
37,0,64281
38,0,1822
39,0,55325
40,0,41432
41,0,52061
42,0,39973
43,0,42524
44,0,7935
45,0,49940
46,0,10059
47,0,44159
48,0,76691
49,0,3720
50,0,5621
51,0,24147
52,0,33997
53,0,64076
54,0,21379
55,0,23714
56,0,19866
57,0,4529
58,0,64703
59,0,19649
60,0,6596
61,0,7999
62,0,4762
63,0,5387
64,0,24620
65,0,57989
66,0,75619
67,0,26977
68,0,65975
69,0,51302
70,0,63714
71,0,70556
72,0,70117
73,0,51972
74,0,60572
75,0,9548
76,0,64
77,0,35510
78,1,10732
79,0,9214
80,0,10761
81,0,32110
82,0,50038
83,0,1555
84,0,21200
85,0,50380
86,0,45009
87,0,65450
88,0,77333
89,0,2347
90,0,8443
91,0,39490
92,0,69077
93,0,64652
94,0,5254
95,0,71131
96,0,19620
97,0,41266
98,0,11001
99,0,28530
100,0,72481
101,0,67417
102,0,51840
103,0,43223
104,0,40287
105,0,29367
106,0,36352
107,0,29681
108,0,30233
109,0,66601
110,0,40276
111,0,1522
112,0,17936
113,0,26270
114,0,6837
115,0,49665
116,0,1908
117,0,6474
118,1,27495
119,0,24324
120,0,14299
121,0,56246
122,1,3901
123,0,41566
124,1,55735
125,0,53627
126,0,62683
127,0,42719
128,0,44948
129,0,26037
130,0,30607
131,0,46103
132,0,6452
133,0,47286
134,0,44117
135,0,1367
136,0,26228
137,0,65694
138,0,2721
139,0,63901
140,0,4701
141,0,35341
142,0,3203
143,0,10361
144,0,6572
145,0,70408
146,0,11774
147,0,37873
148,0,3886
149,0,23347
150,0,3034
151,1,30137
152,0,52431
153,0,11061
154,0,9706
155,0,17607
156,0,64986
157,0,8082
158,0,20982
159,0,5794
160,0,69381
161,0,50176
162,0,1612
163,0,48923
164,0,50366
165,0,48813
166,0,5574
167,0,57601
168,0,26788
169,0,564
170,0,3864
171,0,19598
172,0,19513
173,0,74965
174,0,42353
175,0,13367
176,0,38556
177,0,51344
178,0,28320
179,0,56104
180,0,68882
181,0,75800
182,0,13223
183,0,62740
184,0,67233
185,0,49207
186,0,19053
187,0,38096
188,0,46519
189,1,2111
190,0,69413
191,0,53827
192,0,40064
193,0,33502
194,0,15182
195,0,13593
196,0,15613
197,0,75751
198,0,71625
199,0,37763
200,0,10812
201,0,67357
202,0,49583
203,0,45428
204,0,9978
205,0,44266
206,0,47252
207,0,57884
208,0,24334
209,0,58892
210,0,40799
211,0,33879
212,0,24403
213,0,51150
214,0,7722
215,0,71271
216,0,56772
217,0,65909
218,0,8228
219,0,52138
220,0,22999
221,0,29196
222,0,10663
223,0,65651
224,0,17973
225,0,10986
226,0,19355
227,0,75402
228,0,52587
229,0,41662
230,0,73944
231,0,3987
232,0,40057
233,0,76195
234,0,12411
235,0,15161
236,0,59084
237,0,53857
238,0,42772
239,0,5294
240,0,56439
241,0,29998
242,0,76599
243,0,27424
244,0,45605
245,0,75833
246,0,57068
247,0,70129
248,0,14733
249,0,71886
250,0,7561
251,1,59522
252,0,44299
253,0,29220
254,0,15869
255,0,51270
256,0,14778
257,0,19212
258,1,70890
259,0,31183
260,0,46628
261,0,44670
262,1,70734
263,0,47051
264,0,17760
265,0,8180
266,0,24756
267,0,56780
268,0,59919
269,0,18924
270,0,42477
271,0,50900
272,0,11824
273,0,51740
274,0,51364
275,0,64265
276,0,46233
277,0,41215
278,0,47172
279,0,53542
280,0,2121
281,0,77677
282,0,38018
283,0,29799
284,0,565
285,0,33473
286,0,14628
287,0,46339
288,0,6352
289,0,63568
290,0,15317
291,0,63035
292,0,22942
293,1,62212
294,0,49252
295,1,38520
296,0,65459
297,0,69109
298,0,67985
299,0,74040
300,0,31049
301,0,55523
302,0,40579
303,0,40211
304,0,41982
305,0,24286
306,0,53696
307,0,47130
308,0,25340
309,0,16794
310,0,10399
311,0,9095
312,0,60624
313,0,30188
314,0,19292
315,0,58780
316,0,33674
317,0,17128
318,0,28127
319,0,42650
320,0,58393
321,0,72037
322,0,33736
323,0,51260
324,0,21326
325,0,7784
326,0,33540
327,0,14669
328,0,53267
329,0,51294
330,0,4208
331,0,64266
332,0,57995
333,0,76317
334,0,32169
335,0,22403
336,0,18775
337,0,7007
338,0,58836
339,0,67403
340,0,34371
341,0,17603
342,0,72636
343,0,44193
344,0,41162
345,0,42939
346,0,37227
347,0,34986
348,0,10473
349,0,42833
350,1,39224
351,0,34148
352,0,65558
353,0,63986
354,0,31641
355,0,45087
356,0,63354
357,0,41610
358,0,10376
359,0,11414
360,0,32884
361,0,71007
362,0,43891
363,0,26769
364,1,23022
365,0,56684
366,0,24951
367,0,8810
368,0,77266
369,0,33334
370,0,29911
371,0,42142
372,0,29467
373,0,11784
374,0,29776
375,0,10563
376,0,6736
377,0,441
378,0,14980
379,0,13549
380,0,1348
381,0,14948
382,0,12723
383,0,22827
384,0,30527
385,0,38928
386,0,17420
387,0,72878
388,0,43657
389,0,38588
390,0,55236
391,0,339
392,0,30270
393,0,52076
394,0,36458
395,0,27999
396,0,57114
397,0,25603
398,0,71930
399,0,23945
400,0,22469
401,0,34891
402,0,17506
403,0,32124
404,0,48160
405,0,30792
406,0,76840
407,0,27844
408,0,32595
409,0,68808
410,0,66391
411,0,18212
412,1,51051
413,0,60375
414,0,8495
415,0,61193
416,0,18612
417,0,50665
418,0,50512
419,0,6621
420,0,10992
421,0,10742
422,0,33326
423,0,28711
424,0,16466
425,0,71692
426,0,60158
427,0,5296
428,0,1415
429,0,376
430,0,11139
431,0,21667
432,0,52771
433,0,30283
434,0,33431
435,0,10860
436,0,76614
437,0,52246
438,0,16337
439,1,21160
440,0,30888
441,0,41543
442,0,68619
443,0,46124
444,0,9454
445,0,48316
446,0,61103
447,0,46772
448,0,62688
449,0,53821
450,0,67083
451,0,10508
452,0,42182
453,1,51295
454,0,26017
455,0,38656
456,0,1210
457,0,52205
458,0,18776
459,0,39588
460,0,2066
461,0,7952
462,0,28286
463,0,15837
464,0,41908
465,0,28766
466,0,35922
467,0,44582
468,0,42485
469,0,71289
470,0,47556
471,0,27264
472,0,50266
473,0,77122
474,0,45635
475,0,57502
476,0,26262
477,0,74374
478,0,34661
479,0,38450
480,0,31134
481,0,27968
482,0,36271
483,0,3316
484,0,35219
485,0,52701
486,0,8654
487,0,7551
488,0,18778
489,0,74667
490,0,57527
491,0,1726
492,0,60191
493,0,30623
494,0,67366
495,0,38917
496,0,15689
497,0,18286
498,0,63660
499,0,32232
500,0,56976
501,0,64644
502,0,39204
503,0,47141
504,0,26883
505,0,9890
506,0,50095
507,0,16145
508,0,24190
509,0,17777
510,0,3339
511,0,11436
512,0,40457
513,0,4730
514,0,10380
515,0,6891
516,0,40575
517,0,60937
518,0,50037
519,0,3066
520,0,18712
521,0,68494
522,0,74119
523,0,76254
524,0,49402
525,0,8141
526,0,3076
527,0,14390
528,0,66964
529,0,67091
530,0,13164
531,0,21190
532,0,21432
533,0,2096
534,0,53808
535,0,9751
536,0,59105
537,0,76796
538,0,49192
539,0,45888
540,0,12492
541,0,72963
542,0,53303
543,0,53081
544,0,23930
545,0,51938
546,0,29280
547,0,7689
548,1,16924
549,0,40162
550,0,8648
551,0,57036
552,0,69859
553,0,31492
554,0,3964
555,0,20962
556,0,16434
557,0,28860
558,0,28665
559,0,1561
560,0,72856
561,0,28596
562,0,52840
563,0,73807
564,0,1089
565,0,20345
566,0,59325
567,0,45294
568,0,61412
569,1,29033
570,0,41735
571,0,64996
572,0,10388
573,0,20001
574,0,47942
575,0,5232
576,0,7097
577,0,61335
578,0,61360
579,0,429
580,0,54187
581,0,18493
582,0,23130
583,0,16180
584,0,5133
585,0,54456
586,0,62197
587,0,50861
588,0,40356
589,0,68967
590,0,49181
591,0,19572
592,0,58731
593,0,32167
594,0,3435
595,0,7389
596,0,44860
597,0,72065
598,0,49353
599,0,42688
